"Job_Title","Company_Name","City_State","Company_Rating","salary_Range","Post_Date","sal_hourly","min_salary","max_salary","avg_salary","job_state","pd_hourly","job_simp","seniority"
"Principal Machine-Learning Engineer, Conversational Intelligence","Outreach","Seattle, WA",3.9,"$136K-$225K (Glassdoor Est.)","21d",0,136,225,180.5,"WA",504,"na","senior"
"Principal Machine-Learning Engineer, Knowledge Assets","Outreach","Seattle, WA",3.9,"$136K-$225K (Glassdoor Est.)","20d",0,136,225,180.5,"WA",480,"na","senior"
"Supply Chain Data Analyst","evo","Sumner, WA",3.3,"$39K-$71K (Glassdoor Est.)","24d",0,39,71,55,"WA",576,"analyst","na"
"Director of Product, Data Intelligence","Compass","Seattle, WA",3.9,"$121K-$198K (Glassdoor Est.)","24h",0,121,198,159.5,"WA",24,"director","na"
"Data Analyst","Cedent Consulting","Redmond, WA",3.3,"$57K-$84K (Glassdoor Est.)","21d",0,57,84,70.5,"WA",504,"analyst","na"
"Business Systems Analyst (Data Analyst)","Sea Mar Community Health Centers","Seattle, WA",2.6,"$46K-$85K (Glassdoor Est.)","6d",0,46,85,65.5,"WA",144,"analyst","na"
"Sr. Machine Learning Engineer","CSI Interfusion Inc","Bellevue, WA",2.9,"$100K-$167K (Glassdoor Est.)","20d",0,100,167,133.5,"WA",480,"mle","senior"
"Power BI/data Analyst","Nayamode","Redmond, WA",3.2,"$49K-$89K (Glassdoor Est.)","6d",0,49,89,69,"WA",144,"analyst","na"
"Research Scientist, Flexible/Stretchable Electronics","Facebook","Redmond, WA",4.6,"$101K-$192K (Glassdoor Est.)","24h",0,101,192,146.5,"WA",24,"na","na"
"Bioinformatics Scientist- Immunology","Allen Institute for Immunology","Seattle, WA",3.8,"$68K-$113K (Glassdoor Est.)","24d",0,68,113,90.5,"WA",576,"na","na"
"Machine Learning Engineer II","Amazon","Seattle, WA",3.9,"$128K-$197K (Glassdoor Est.)","3d",0,128,197,162.5,"WA",72,"mle","na"
"Postdoctoral Research Scientist, Holographic Optical Elements (PhD)","Facebook","Redmond, WA",4.6,"$76K-$147K (Glassdoor Est.)","24h",0,76,147,111.5,"WA",24,"na","na"
"Product Manager - Data Platform","Niantic","Seattle, WA",3.9,"$76K-$130K (Glassdoor Est.)","24h",0,76,130,103,"WA",24,"manager","na"
"RESEARCH SCIENTIST [part-time]","University of Washington","Seattle, WA",4.2,"$32K-$81K (Glassdoor Est.)","5d",0,32,81,56.5,"WA",120,"na","na"
"Sr Data Engineer","Amazon","Seattle, WA",3.9,"$100K-$154K (Glassdoor Est.)","13d",0,100,154,127,"WA",312,"data engineer","senior"
"RESEARCH SCIENTIST/ENGINEER","University of Washington","Seattle, WA",4.2,"$29K-$72K (Glassdoor Est.)","6d",0,29,72,50.5,"WA",144,"na","na"
"Principal Engineer – Marketing Technology, Data and Machine Learning","Zulily","Seattle, WA",2.6,"$155K-$262K (Glassdoor Est.)","5d",0,155,262,208.5,"WA",120,"mle","senior"
"Staff Data Architect","InVisionApp","Seattle, WA",3.4,"$103K-$164K (Glassdoor Est.)","27d",0,103,164,133.5,"WA",648,"na","na"
"Senior Data Analyst","Wizards of the Coast","Renton, WA",3.4,"$56K-$107K (Glassdoor Est.)","24d",0,56,107,81.5,"WA",576,"analyst","senior"
"Scientist - Single-Cell Bioinformatics","Allen Institute","Seattle, WA",3.8,"$67K-$113K (Glassdoor Est.)","4d",0,67,113,90,"WA",96,"na","na"
"Senior Principal Applied Scientist","Amazon","Seattle, WA",3.9,"$42K-$312K (Glassdoor Est.)","13d",0,42,312,177,"WA",312,"na","senior"
"Postdoctoral Fellow or Research Scientist","Institute for Systems Biology","Seattle, WA",4,"$28K-$63K (Glassdoor Est.)","6d",0,28,63,45.5,"WA",144,"na","na"
"Senior Scientist, Computational Biologist - Biomedical Imaging Data","Sage Bionetworks","Seattle, WA",4.8,"$108K-$170K (Glassdoor Est.)","17d",0,108,170,139,"WA",408,"na","senior"
"Data Engineer","Milliman","Seattle, WA",3.9,"$63K-$116K (Glassdoor Est.)","12d",0,63,116,89.5,"WA",288,"data engineer","na"
"Senior Manager of Data Science OR Director of Data Science","Foursquare","Seattle, WA",2.7,"$205K-$326K (Glassdoor Est.)","18d",0,205,326,265.5,"WA",432,"manager","senior"
"Staff Scientist","SLR International Corporation","Seattle, WA",2.9,"$49K-$104K (Glassdoor Est.)","24h",0,49,104,76.5,"WA",24,"na","na"
"Data Science and Business Intelligence Engineering Manager","Amazon","Seattle, WA",3.9,"$110K-$176K (Glassdoor Est.)","5d",0,110,176,143,"WA",120,"manager","na"
"Data Engineer","HCL America Inc","Redmond, WA",3.5,"$83K-$143K (Glassdoor Est.)","5d",0,83,143,113,"WA",120,"data engineer","na"
"Sr. Director, Office of Data Science","Liberty Mutual Insurance","Seattle, WA",3.5,"$262K-$404K (Glassdoor Est.)","27d",0,262,404,333,"WA",648,"director","senior"
"Research Scientist, Computational Imaging (PhD)","Facebook","Redmond, WA",4.6,"$65K-$128K (Glassdoor Est.)","24h",0,65,128,96.5,"WA",24,"na","na"
"Data Engineer","Tekreliance LLC","Seattle, WA",3.5,"$56K-$105K (Glassdoor Est.)","14d",0,56,105,80.5,"WA",336,"data engineer","na"
"Sr Data Engineer, Data Science","Twitter","Seattle, WA",4,"$128K-$218K (Glassdoor Est.)","6d",0,128,218,173,"WA",144,"data engineer","senior"
"Apple Media Products - Senior Data Engineer","Apple","Seattle, WA",4.2,"$134K-$229K (Glassdoor Est.)","7d",0,134,229,181.5,"WA",168,"data engineer","senior"
"Data Integrity & Analytics Manager","FinancialForce","Seattle, WA",4,"$81K-$144K (Glassdoor Est.)","10d",0,81,144,112.5,"WA",240,"manager","na"
"Scientific Data Engineer I - Image Processing - Cell Science","Allen Institute","Seattle, WA",3.8,"$67K-$117K (Glassdoor Est.)","21d",0,67,117,92,"WA",504,"data engineer","na"
